等级	升级经验	雇佣价格	雇佣上限	每日上限	通缉价格	银行上限	奖励道具	道具数量	奖励武器	武器数量	宝石数量	经验争夺	世界BOSS	升级文字
328	51323330	10700	10	0	21400	50000	20501	1	0	0	1	7695	41400	upgrade.328
329	51423330	10725	10	0	21450	50000	14501	1	0	0	1	7710	41480	upgrade.329
330	51523330	10750	10	0	21500	50000	20014	1	0	0	10	7725	41560	upgrade.330
331	51623330	10775	10	0	21550	50000	20501	1	0	0	1	7740	41640	upgrade.331
332	51723330	10800	10	0	21600	50000	14501	1	0	0	1	7755	41720	upgrade.332
333	51826665	10825	10	0	21650	50000	20501	1	0	0	1	7770	41735	upgrade.333
334	51930000	10850	10	0	21700	50000	14501	1	0	0	1	7785	41820	upgrade.334
335	52033330	10875	10	0	21750	50000	20013	1	0	0	5	7800	41900	upgrade.335
336	52136665	10900	10	0	21800	50000	20501	1	0	0	1	7820	41985	upgrade.336
337	52240000	10925	10	0	21850	50000	14501	1	0	0	1	7835	42070	upgrade.337
338	52343330	10950	10	0	21900	50000	20501	1	0	0	1	7850	42150	upgrade.338
339	52446665	10975	10	0	21950	50000	14501	1	0	0	1	7865	42235	upgrade.339
340	52550000	11000	10	0	22000	50000	20014	1	0	0	10	7880	42320	upgrade.340
341	52653330	11025	10	0	22050	50000	20501	1	0	0	1	7895	42400	upgrade.341
342	52756665	11050	10	0	22100	50000	14501	1	0	0	1	7910	42415	upgrade.342
343	52860000	11075	10	0	22150	50000	20501	1	0	0	1	7925	42495	upgrade.343
344	52963330	11100	10	0	22200	50000	14501	1	0	0	1	7940	42580	upgrade.344
345	53066665	11125	10	0	22250	50000	20013	1	0	0	5	7955	42660	upgrade.345
346	53170000	11150	10	0	22300	50000	20501	1	0	0	1	7975	42745	upgrade.346
347	53273330	11175	10	0	22350	50000	14501	1	0	0	1	7990	42830	upgrade.347
348	53376665	11200	10	0	22400	50000	20501	1	0	0	1	8005	42910	upgrade.348
349	53483330	11225	10	0	22450	50000	14501	1	0	0	1	8020	43000	upgrade.349
350	53590000	11250	10	0	22500	50000	20014	1	0	0	10	8035	43085	upgrade.350
351	53696665	11275	10	0	22550	50000	20501	1	0	0	1	8050	43100	upgrade.351
352	53803330	11300	10	0	22600	50000	14501	1	0	0	1	8070	43185	upgrade.352
353	53910000	11325	10	0	22650	50000	20501	1	0	0	1	8085	43270	upgrade.353
354	54016665	11350	10	0	22700	50000	14501	1	0	0	1	8100	43355	upgrade.354
355	54123330	11375	10	0	22750	50000	20013	1	0	0	5	8115	43440	upgrade.355
356	54230000	11400	10	0	22800	50000	20501	1	0	0	1	8130	43525	upgrade.356
357	54336665	11425	10	0	22850	50000	14501	1	0	0	1	8150	43610	upgrade.357
358	54443330	11450	10	0	22900	50000	20501	1	0	0	1	8165	43695	upgrade.358
359	54550000	11475	10	0	22950	50000	14501	1	0	0	1	8180	43780	upgrade.359
360	54656665	11500	10	0	23000	50000	20014	1	0	0	10	8195	43870	upgrade.360
361	54763330	11525	10	0	23050	50000	20501	1	0	0	1	8210	43880	upgrade.361
362	54870000	11550	10	0	23100	50000	14501	1	0	0	1	8230	43965	upgrade.362
363	54976665	11575	10	0	23150	50000	20501	1	0	0	1	8245	44050	upgrade.363
364	55083330	11600	10	0	23200	50000	14501	1	0	0	1	8260	44140	upgrade.364
365	55193330	11625	10	0	23250	50000	20013	1	0	0	5	8275	44225	upgrade.365
366	55303330	11650	10	0	23300	50000	20501	1	0	0	1	8295	44315	upgrade.366
367	55413330	11675	10	0	23350	50000	14501	1	0	0	1	8310	44400	upgrade.367
368	55523330	11700	10	0	23400	50000	20501	1	0	0	1	8325	44490	upgrade.368
369	55633330	11725	10	0	23450	50000	14501	1	0	0	1	8340	44580	upgrade.369
370	55743330	11750	10	0	23500	50000	20014	1	0	0	10	8360	44665	upgrade.370
371	55853330	11775	10	0	23550	50000	20501	1	0	0	1	8375	44680	upgrade.371
372	55963330	11800	10	0	23600	50000	14501	1	0	0	1	8390	44770	upgrade.372
373	56073330	11825	10	0	23650	50000	20501	1	0	0	1	8410	44855	upgrade.373
374	56183330	11850	10	0	23700	50000	14501	1	0	0	1	8425	44945	upgrade.374
375	56293330	11875	10	0	23750	50000	20013	1	0	0	5	8440	45030	upgrade.375
376	56403330	11900	10	0	23800	50000	20501	1	0	0	1	8460	45120	upgrade.376
377	56513330	11925	10	0	23850	50000	14501	1	0	0	1	8475	45210	upgrade.377
378	56623330	11950	10	0	23900	50000	20501	1	0	0	1	8490	45295	upgrade.378
379	56733330	11975	10	0	23950	50000	14501	1	0	0	1	8505	45310	upgrade.379
380	56846665	12000	10	0	24000	50000	20014	1	0	0	10	8525	45400	upgrade.380
381	56960000	12025	10	0	24050	50000	20501	1	0	0	1	8540	45490	upgrade.381
382	57073330	12050	10	0	24100	50000	14501	1	0	0	1	8560	45580	upgrade.382
383	57186665	12075	10	0	24150	50000	20501	1	0	0	1	8575	45670	upgrade.383
384	57300000	12100	10	0	24200	50000	14501	1	0	0	1	8595	45760	upgrade.384
385	57413330	12125	10	0	24250	50000	20013	1	0	0	5	8610	45850	upgrade.385
386	57526665	12150	10	0	24300	50000	20501	1	0	0	1	8625	45940	upgrade.386
387	57640000	12175	10	0	24350	50000	14501	1	0	0	1	8645	46030	upgrade.387
388	57753330	12200	10	0	24400	50000	20501	1	0	0	1	8660	46125	upgrade.388
389	57866665	12225	10	0	24450	50000	14501	1	0	0	1	8675	46135	upgrade.389
390	57980000	12250	10	0	24500	50000	20014	1	0	0	10	8695	46225	upgrade.390
391	58093330	12275	10	0	24550	50000	20501	1	0	0	1	8710	46315	upgrade.391
392	58206665	12300	10	0	24600	50000	14501	1	0	0	1	8730	46405	upgrade.392
393	58320000	12325	10	0	24650	50000	20501	1	0	0	1	8745	46500	upgrade.393
394	58433330	12350	10	0	24700	50000	14501	1	0	0	1	8760	46590	upgrade.394
395	58550000	12375	10	0	24750	50000	20013	1	0	0	5	8780	46680	upgrade.395
396	58666665	12400	10	0	24800	50000	20501	1	0	0	1	8795	46775	upgrade.396
397	58783330	12425	10	0	24850	50000	14501	1	0	0	1	8815	46865	upgrade.397
398	58900000	12450	10	0	24900	50000	20501	1	0	0	1	8835	46960	upgrade.398
399	59016665	12475	10	0	24950	50000	14501	1	0	0	1	8850	46975	upgrade.399
400	59133330	12500	10	0	25000	50000	20014	1	0	0	10	8865	47065	upgrade.400
401	59250000	12525	10	0	25050	50000	20501	1	0	0	1	8885	47160	upgrade.401
402	59366665	12550	10	0	25100	50000	14501	1	0	0	1	8900	47255	upgrade.402
403	59483330	12575	10	0	25150	50000	20501	1	0	0	1	8920	47345	upgrade.403
404	59600000	12600	10	0	25200	50000	14501	1	0	0	1	8940	47440	upgrade.404
405	59716665	12625	10	0	25250	50000	20013	1	0	0	5	8955	47530	upgrade.405
406	59833330	12650	10	0	25300	50000	20501	1	0	0	1	8970	47625	upgrade.406
407	59950000	12675	10	0	25350	50000	14501	1	0	0	1	8990	47720	upgrade.407
408	60066665	12700	10	0	25400	50000	20501	1	0	0	1	9005	47810	upgrade.408
409	60186665	12725	10	0	25450	50000	14501	1	0	0	1	9025	47905	upgrade.409
410	60306665	12750	10	0	25500	50000	20014	1	0	0	10	9045	47920	upgrade.410
411	60426665	12775	10	0	25550	50000	20501	1	0	0	1	9060	48015	upgrade.411
412	60546665	12800	10	0	25600	50000	14501	1	0	0	1	9080	48110	upgrade.412
413	60666665	12825	10	0	25650	50000	20501	1	0	0	1	9095	48205	upgrade.413
414	60786665	12850	10	0	25700	50000	14501	1	0	0	1	9115	48300	upgrade.414
415	60906665	12875	10	0	25750	50000	20013	1	0	0	5	9135	48400	upgrade.415
416	61026665	12900	10	0	25800	50000	20501	1	0	0	1	9150	48495	upgrade.416
417	61146665	12925	10	0	25850	50000	14501	1	0	0	1	9170	48590	upgrade.417
418	61266665	12950	10	0	25900	50000	20501	1	0	0	1	9185	48685	upgrade.418
419	61386665	12975	10	0	25950	50000	14501	1	0	0	1	9205	48700	upgrade.419
420	61506665	13000	10	0	26000	50000	20014	1	0	0	10	9225	48795	upgrade.420
421	61626665	13025	10	0	26050	50000	20501	1	0	0	1	9240	48890	upgrade.421
422	61746665	13050	10	0	26100	50000	14501	1	0	0	1	9260	48985	upgrade.422
423	61870000	13075	10	0	26150	50000	20501	1	0	0	1	9280	49080	upgrade.423
424	61993330	13100	10	0	26200	50000	14501	1	0	0	1	9295	49180	upgrade.424
425	62116665	13125	10	0	26250	50000	20013	1	0	0	5	9315	49275	upgrade.425
426	62240000	13150	10	0	26300	50000	20501	1	0	0	1	9335	49375	upgrade.426
427	62363330	13175	10	0	26350	50000	14501	1	0	0	1	9350	49470	upgrade.427
428	62486665	13200	10	0	26400	50000	20501	1	0	0	1	9370	49570	upgrade.428
429	62610000	13225	10	0	26450	50000	14501	1	0	0	1	9390	49585	upgrade.429
430	62733330	13250	10	0	26500	50000	20014	1	0	0	10	9405	49680	upgrade.430
431	62856665	13275	10	0	26550	50000	20501	1	0	0	1	9425	49780	upgrade.431
432	62980000	13300	10	0	26600	50000	14501	1	0	0	1	9445	49880	upgrade.432
433	63103330	13325	10	0	26650	50000	20501	1	0	0	1	9465	49975	upgrade.433
434	63226665	13350	10	0	26700	50000	14501	1	0	0	1	9480	50075	upgrade.434
435	63350000	13375	10	0	26750	50000	20013	1	0	0	5	9500	50170	upgrade.435
436	63476665	13400	10	0	26800	50000	20501	1	0	0	1	9520	50270	upgrade.436
437	63603330	13425	10	0	26850	50000	14501	1	0	0	1	9540	50370	upgrade.437
438	63730000	13450	10	0	26900	50000	20501	1	0	0	1	9555	50470	upgrade.438
439	63856665	13475	10	0	26950	50000	14501	1	0	0	1	9575	50485	upgrade.439
440	63983330	13500	10	0	27000	50000	20014	1	0	0	10	9595	50585	upgrade.440
441	64110000	13525	10	0	27050	50000	20501	1	0	0	1	9615	50685	upgrade.441
442	64236665	13550	10	0	27100	50000	14501	1	0	0	1	9635	50785	upgrade.442
443	64363330	13575	10	0	27150	50000	20501	1	0	0	1	9650	50885	upgrade.443
444	64490000	13600	10	0	27200	50000	14501	1	0	0	1	9670	50985	upgrade.444
445	64616665	13625	10	0	27250	50000	20013	1	0	0	5	9690	51085	upgrade.445
446	64743330	13650	10	0	27300	50000	20501	1	0	0	1	9710	51185	upgrade.446
447	64870000	13675	10	0	27350	50000	14501	1	0	0	1	9730	51290	upgrade.447
448	64996665	13700	10	0	27400	50000	20501	1	0	0	1	9745	51390	upgrade.448
449	65123330	13725	10	0	27450	50000	14501	1	0	0	1	9765	51490	upgrade.449
450	65253330	13750	10	0	27500	50000	20014	1	0	0	10	9785	51505	upgrade.450
451	65383330	13775	10	0	27550	50000	20501	1	0	0	1	9805	51605	upgrade.451
452	65513330	13800	10	0	27600	50000	14501	1	0	0	1	9825	51710	upgrade.452
453	65643330	13825	10	0	27650	50000	20501	1	0	0	1	9845	51810	upgrade.453
454	65773330	13850	10	0	27700	50000	14501	1	0	0	1	9865	51915	upgrade.454
455	65903330	13875	10	0	27750	50000	20013	1	0	0	5	9885	52015	upgrade.455
456	66033330	13900	10	0	27800	50000	20501	1	0	0	1	9900	52120	upgrade.456
457	66163330	13925	10	0	27850	50000	14501	1	0	0	1	9920	52220	upgrade.457
458	66293330	13950	10	0	27900	50000	20501	1	0	0	1	9940	52325	upgrade.458
459	66423330	13975	10	0	27950	50000	14501	1	0	0	1	9960	52425	upgrade.459
460	66553330	14000	10	0	28000	50000	20014	1	0	0	10	9980	52440	upgrade.460
461	66683330	14025	10	0	28050	50000	20501	1	0	0	1	10000	52455	upgrade.461
462	66816665	14050	10	0	28100	50000	14501	1	0	0	1	10020	52560	upgrade.462
463	66950000	14075	10	0	28150	50000	20501	1	0	0	1	10040	52665	upgrade.463
464	67083330	14100	10	0	28200	50000	14501	1	0	0	1	10060	52770	upgrade.464
465	67216665	14125	10	0	28250	50000	20013	1	0	0	5	10080	52875	upgrade.465
466	67350000	14150	10	0	28300	50000	20501	1	0	0	1	10100	52980	upgrade.466
467	67483330	14175	10	0	28350	50000	14501	1	0	0	1	10120	53085	upgrade.467
468	67616665	14200	10	0	28400	50000	20501	1	0	0	1	10140	53190	upgrade.468
469	67750000	14225	10	0	28450	50000	14501	1	0	0	1	10160	53295	upgrade.469
470	67883330	14250	10	0	28500	50000	20014	1	0	0	10	10180	53400	upgrade.470
471	68016665	14275	10	0	28550	50000	20501	1	0	0	1	10200	53505	upgrade.471
472	68150000	14300	10	0	28600	50000	14501	1	0	0	1	10220	53610	upgrade.472
473	68283330	14325	10	0	28650	50000	20501	1	0	0	1	10240	53715	upgrade.473
474	68416665	14350	10	0	28700	50000	14501	1	0	0	1	10260	53820	upgrade.474
475	68553330	14375	10	0	28750	50000	20013	1	0	0	5	10280	53925	upgrade.475
476	68690000	14400	10	0	28800	50000	20501	1	0	0	1	10300	54035	upgrade.476
477	68826665	14425	10	0	28850	50000	14501	1	0	0	1	10320	54140	upgrade.477
478	68963330	14450	10	0	28900	50000	20501	1	0	0	1	10340	54250	upgrade.478
479	69100000	14475	10	0	28950	50000	14501	1	0	0	1	10365	54355	upgrade.479
480	69236665	14500	10	0	29000	50000	20014	1	0	0	10	10385	54465	upgrade.480
481	69373330	14525	10	0	29050	50000	20501	1	0	0	1	10405	54570	upgrade.481
482	69510000	14550	10	0	29100	50000	14501	1	0	0	1	10425	54680	upgrade.482
483	69646665	14575	10	0	29150	50000	20501	1	0	0	1	10445	54785	upgrade.483
484	69783330	14600	10	0	29200	50000	14501	1	0	0	1	10465	54895	upgrade.484
485	69920000	14625	10	0	29250	50000	20013	1	0	0	5	10485	55000	upgrade.485
486	70056665	14650	10	0	29300	50000	20501	1	0	0	1	10505	55110	upgrade.486
487	70196665	14675	10	0	29350	50000	14501	1	0	0	1	10525	55220	upgrade.487
488	70336665	14700	10	0	29400	50000	20501	1	0	0	1	10550	55330	upgrade.488
489	70476665	14725	10	0	29450	50000	14501	1	0	0	1	10570	55440	upgrade.489
490	70616665	14750	10	0	29500	50000	20014	1	0	0	10	10590	55550	upgrade.490
491	70756665	14775	10	0	29550	50000	20501	1	0	0	1	10610	55660	upgrade.491
492	70896665	14800	10	0	29600	50000	14501	1	0	0	1	10630	55770	upgrade.492
493	71036665	14825	10	0	29650	50000	20501	1	0	0	1	10655	55880	upgrade.493
494	71176665	14850	10	0	29700	50000	14501	1	0	0	1	10675	55990	upgrade.494
495	71316665	14875	10	0	29750	50000	20013	1	0	0	5	10695	56100	upgrade.495
496	71456665	14900	10	0	29800	50000	20501	1	0	0	1	10715	56210	upgrade.496
497	71596665	14925	10	0	29850	50000	14501	1	0	0	1	10735	56320	upgrade.497
498	71736665	14950	10	0	29900	50000	20501	1	0	0	1	10760	56430	upgrade.498
499	71880000	14975	10	0	29950	50000	14501	1	0	0	1	10780	56545	upgrade.499
500	72023330	15000	10	0	30000	50000	20014	1	0	0	10	10800	56655	upgrade.500
