StringId	Values
tip.maintask.93	追逐泰坦逃亡的脚步，可以确定他们逃往了这里。诸神的部队开始集结。
tip.maintask.94	逃亡的泰坦一路烧杀掠夺，多停留一刻，人间便多一分苦难。加快追击吧！
tip.maintask.95	泰坦留下了鹰身女妖刺杀将领，这种天空上恶魔，你要多加小心！
tip.maintask.96	围困了利姆诺斯岛，这次泰坦将无处可逃，此战即将结束人间的疾苦，重建三界秩序。
tip.maintask.97	泰坦不甘心被围，也不想去天界，妄图突围的他们都是在自取灭亡。
tip.maintask.98	凡我麾下诸神，以及他们的佣兵，圣战将至！这是宙斯的命令！
tip.maintask.99	被囚的泰坦将失去神力，诸神将他们禁锢在塔尔塔罗斯地狱！
tip.maintask.100	宙斯切断了通往天界的神柱，破坏之神-克洛诺斯已经无处可逃，但他绝不会投降！
name.dailytask.1	战乱的斯巴达
name.dailytask.2	救助平民
name.dailytask.3	寻找食物
name.dailytask.4	狩猎
name.dailytask.5	战神的困扰
name.dailytask.6	战车的零件
name.dailytask.7	半人马之乱
name.dailytask.8	惩治劫匪
name.dailytask.9	破烂的盔甲
name.dailytask.10	武器店的委托
name.dailytask.11	宙斯神庙
name.dailytask.12	佣兵的信仰
name.dailytask.13	收集神像
name.dailytask.14	救命的药品
name.dailytask.15	渎神者
name.dailytask.16	制作陷阱
name.dailytask.17	失落的神像
name.dailytask.18	竞技危机
name.dailytask.19	阿特拉斯的弱点
name.dailytask.20	远航的准备
name.dailytask.21	除暴安良
name.dailytask.22	渔民的烦恼
name.dailytask.23	消除恐慌
name.dailytask.24	收缴凶器
name.dailytask.25	诅咒之地
name.dailytask.26	迷雾下的米利都
name.dailytask.27	命运的选择
name.dailytask.28	向前吧！佣兵
name.dailytask.29	斩草除根
name.dailytask.30	神格的陨落
name.dailytask.31	奇妙之旅
name.dailytask.32	宁静之地
name.dailytask.33	佣兵的使命
name.dailytask.34	保持警惕
name.dailytask.35	救命良药
name.dailytask.36	危机四起
name.dailytask.37	冒险行动
name.dailytask.38	波塞冬的警告
name.dailytask.39	鼎力相助
name.dailytask.40	新神的诞生
name.dailytask.41	特洛伊之变
name.dailytask.42	帮助贫民
name.dailytask.43	寻找水源
name.dailytask.44	昔日往事
name.dailytask.45	战争创伤
name.dailytask.46	许帕里翁的号召
name.dailytask.47	历史的抉择
name.dailytask.48	新旧交替
name.dailytask.49	战事又起
name.dailytask.50	阿波罗的请求
name.dailytask.51	远赴重洋
name.dailytask.52	重返雅典
name.dailytask.53	昔日记忆
name.dailytask.54	失去的力量
name.dailytask.55	计划之变
name.dailytask.56	意外的重逢
name.dailytask.57	寻找哈迪斯
name.dailytask.58	疯狂的计划
name.dailytask.59	冥神觉醒
name.dailytask.60	寻找入口
name.dailytask.61	地狱欢迎您
name.dailytask.62	一路顺风
name.dailytask.63	冥神的忧虑
name.dailytask.64	无妄之灾
name.dailytask.65	前进吧！佣兵
name.dailytask.66	兵败如山倒
name.dailytask.67	志在必得
name.dailytask.68	背叛的助手
name.dailytask.69	大追踪
name.dailytask.70	逃出生天
name.dailytask.71	穷寇必追
name.dailytask.72	故技重施
name.dailytask.73	打草惊蛇
name.dailytask.74	诸神归来
name.dailytask.75	再度出征
name.dailytask.76	勇追到底
name.dailytask.77	致命的反击
name.dailytask.78	义无反顾
name.dailytask.79	化解冲突
name.dailytask.80	胜利的曙光
name.dailytask.81	短暂的休整
name.dailytask.82	打探消息
name.dailytask.83	主神的许诺
name.dailytask.84	为荣耀而战
name.dailytask.85	收集消息
name.dailytask.86	决战前的准备
name.dailytask.87	胜利的渴望
name.dailytask.88	永远向前
name.dailytask.89	再下一城
name.dailytask.90	泰坦末日
name.dailytask.91	证明实力
name.dailytask.92	再上征程
name.dailytask.93	漏网之鱼
name.dailytask.94	追踪
name.dailytask.95	先决条件
name.dailytask.96	战后调整
name.dailytask.97	风云又起
name.dailytask.98	穷途末路
name.dailytask.99	重返斯巴达
name.dailytask.100	雅典娜的祝福
name.dailytask.101	接受使命
name.dailytask.102	清除隐患
name.dailytask.103	追凶
name.dailytask.104	逃无可逃
name.dailytask.105	解决战斗
name.dailytask.106	陌路重逢
name.dailytask.107	复仇的泰坦
name.dailytask.108	两强相争
name.dailytask.109	终获胜利
name.dailytask.110	打入地狱
name.dailytask.111	扫荡兽人
name.dailytask.112	灾难降临
name.dailytask.113	抵抗
name.dailytask.114	艰难时刻
name.dailytask.115	神光降临
name.dailytask.116	巨人部落
name.dailytask.117	生死之战
name.dailytask.118	希望
name.dailytask.119	巨人陨落
name.dailytask.120	绝杀
name.dailytask.121	地狱恶魔
name.dailytask.122	横行霸道
name.dailytask.123	维护正义
name.dailytask.124	拼杀
name.dailytask.125	重回秩序
name.dailytask.126	地狱的泰坦
name.dailytask.127	昔日辉煌
name.dailytask.128	审判
name.dailytask.129	诸神降临
name.dailytask.130	和平的期待
name.dailytask.131	惩戒
name.dailytask.132	半神显现
name.dailytask.133	胜者为王
name.dailytask.134	扫荡噩梦
name.dailytask.135	神之佣兵
name.dailytask.136	泰坦的讽刺
name.dailytask.137	短暂的和平
name.dailytask.138	诸神临位
name.dailytask.139	封神
name.dailytask.140	盛世降临
name.dailytask.141	漫长的等待
name.dailytask.142	荣耀使命
name.dailytask.143	从头开始
name.dailytask.144	预言之神
name.dailytask.145	寻找太阳战车
name.dailytask.146	赫利乌斯之谜
name.dailytask.147	光明神的诅咒
name.dailytask.148	赫拉之女
name.dailytask.149	永生的凡人
name.dailytask.150	雅典娜之怒
name.dailytask.151	血腥之战
name.dailytask.152	正义之战
name.dailytask.153	冥河摆渡者
name.dailytask.154	起源
name.dailytask.155	十二泰坦
name.dailytask.156	空间危机
name.dailytask.157	被偷走时光
name.dailytask.158	海洋与河流
name.dailytask.159	智力之仗
name.dailytask.160	生长之石
name.dailytask.161	灵魂锁链
name.dailytask.162	月之暗面
name.dailytask.163	迷失海洋
name.dailytask.164	失去公允的法律
name.dailytask.165	尘封记忆
name.dailytask.166	炽热之阳
name.dailytask.167	雷霆
name.dailytask.168	狩猎
name.dailytask.169	小偷
name.dailytask.170	铸造
name.dailytask.171	冬天
name.dailytask.172	天秤
name.dailytask.173	美少年
name.dailytask.174	善恶裁判
name.dailytask.175	不死食人狮
name.dailytask.176	斯巴达王妃
name.dailytask.177	踏上故土
name.dailytask.178	血腥相残
name.dailytask.179	破镜重圆
name.dailytask.180	灰飞烟灭 
name.dailytask.181	激战方酣
name.dailytask.182	落叶归根
name.dailytask.183	孤身闯敌营
name.dailytask.184	杀身成仁
name.dailytask.185	城门决斗
name.dailytask.186	人神混战
name.dailytask.187	重获神甲
name.dailytask.188	痛失挚友
name.dailytask.189	遗弃荒岛
name.dailytask.190	祭旗开拔
name.dailytask.191	火中升天
name.dailytask.192	金苹果
name.dailytask.193	神谕难违
name.dailytask.194	英雄本色
name.dailytask.195	水落石出
name.dailytask.196	众神的宠儿
name.dailytask.197	岩洞弃婴
name.dailytask.198	收获五勇士
name.dailytask.199	屠龙
name.dailytask.200	遭诱拐的欧罗巴
name.dailytask.201	许愿
name.dailytask.202	丽人重现
name.dailytask.203	人类时代
name.dailytask.204	十二功勋
name.dailytask.205	特洛伊传说
name.dailytask.206	底比斯战争
name.dailytask.207	巨人的牛群
name.dailytask.208	征服亚马孙人
name.dailytask.209	克里特的公牛
name.dailytask.210	奥革阿斯牛圈
name.dailytask.211	九头蛇怪许德拉
name.dailytask.212	巨人之战
name.dailytask.213	伊阿宋的结局
name.dailytask.214	高山巨岩
name.dailytask.215	阿耳戈英雄
name.dailytask.216	祭祀
name.dailytask.217	双鱼座
name.dailytask.218	水瓶座
name.dailytask.219	摩羯座
name.dailytask.220	射手座
name.dailytask.221	天蝎座
name.dailytask.222	天秤座
name.dailytask.223	处女座
name.dailytask.224	狮子座
name.dailytask.225	巨蟹座
name.dailytask.226	双子座
name.dailytask.227	金牛座
name.dailytask.228	白羊座
name.dailytask.229	特洛亚国王
name.dailytask.230	艄公
name.dailytask.231	铁床贼
name.dailytask.232	扳松贼
name.dailytask.233	伊阿宋的王位
name.dailytask.234	魔龙
name.dailytask.235	饥渴之苦
name.dailytask.236	特洛伊王子
name.dailytask.237	木马
name.dailytask.238	女猎手
name.dailytask.239	统帅
name.dailytask.240	求婚者
name.dailytask.241	俘虏
name.dailytask.242	金羊毛
name.dailytask.243	冥土受罚
name.dailytask.244	洪水
name.dailytask.245	挚友
name.dailytask.246	泉水女神的儿子
name.dailytask.247	天医
name.dailytask.248	逃脱
name.dailytask.249	强壮的猎人
name.dailytask.250	水手
name.dailytask.251	喷火的妖怪
name.dailytask.252	海妖
name.dailytask.253	飞马珀伽索斯
name.dailytask.254	克里特迷宫
name.dailytask.255	百首龙
name.dailytask.256	地狱狗
name.dailytask.257	半蛇的怪物
name.dailytask.258	凶猛的化身
name.dailytask.259	冥王的牧人
name.dailytask.260	守卫克里特岛
name.dailytask.261	山谷中的回声
name.dailytask.262	守卫
name.dailytask.263	海中女神
name.dailytask.264	宙斯的使者
name.dailytask.265	提坦神使
name.dailytask.266	航海
name.dailytask.267	月桂树
name.dailytask.268	公正的惩罚
name.dailytask.269	神兵
name.dailytask.270	雄辩
name.dailytask.271	圣树
name.dailytask.272	呼风唤雨
name.dailytask.273	花言巧语
name.dailytask.274	茁壮成长
name.dailytask.275	美丽的羊角
name.dailytask.276	祭品
name.dailytask.277	掌握雷电
name.dailytask.278	雅典娜的母亲
name.dailytask.279	愚笨的神
name.dailytask.280	爱欲
name.dailytask.281	黑夜女神
name.dailytask.282	地狱深渊神
name.dailytask.283	无形的深渊
name.dailytask.284	众神之母
name.dailytask.285	盖亚
name.dailytask.286	宇宙之初
name.dailytask.287	地狱深渊神塔耳塔洛斯
name.dailytask.288	黑夜女神尼克斯
name.dailytask.289	黑暗神俄瑞波斯
name.dailytask.290	混沌之神
name.dailytask.2001	堕落的泰坦
name.dailytask.2002	佣兵的反击
name.dailytask.2003	离奇失踪
name.dailytask.2004	抽丝剥茧
name.dailytask.2005	告诫
name.dailytask.2006	勇敢试炼
name.dailytask.2007	战士的宿命
name.dailytask.2008	义无反顾
name.dailytask.2009	不经意的重逢
name.dailytask.2010	平稳过渡
name.dailytask.2011	构造防线
name.dailytask.2012	打击谣言
name.dailytask.2013	平乱
name.dailytask.2014	回归的信任
name.dailytask.2015	民众力量
name.dailytask.2016	临时代替
name.dailytask.2017	救火
name.dailytask.2018	快速发展
name.dailytask.2019	小心翼翼
name.dailytask.2020	重归战场
name.dailytask.2021	猛虎出征
name.dailytask.2022	突然袭击
name.dailytask.2023	原地待命
name.dailytask.2024	抗议
name.dailytask.2025	暴雨的战场
name.dailytask.2026	奔袭
name.dailytask.2027	佣兵友谊
name.dailytask.2028	半神的反击
name.dailytask.2029	一路向前
name.dailytask.2030	战略后撤
name.dailytask.2031	休整
name.dailytask.2032	秋后算账
name.dailytask.2033	新的调任
name.dailytask.2034	撤编
name.dailytask.2035	意外的惊喜
name.dailytask.2036	组建班底
name.dailytask.2037	艰苦训练
name.dailytask.2038	抛弃杂念
name.dailytask.2039	独自领军
name.dailytask.2040	立下权威
name.dailytask.2041	绝对的信任
name.dailytask.2042	诸神的支持
name.dailytask.2043	迟到的信任
name.dailytask.2044	逐渐成形
name.dailytask.2045	兽族的叛乱
name.dailytask.2046	接受命令
name.dailytask.2047	深入禁地
name.dailytask.2048	艰苦的使命
name.dailytask.2049	叛乱之源
name.dailytask.2050	愤怒的兽人
name.dailytask.2051	保持克制
name.dailytask.2052	维持秩序
name.dailytask.2053	解除武装
name.dailytask.2054	缓解饥荒
name.dailytask.2055	征调令
name.dailytask.2056	赢得信任
name.dailytask.2057	兽人的投诚
name.dailytask.2058	揭开真相
name.dailytask.2059	冒牌的使者
name.dailytask.2060	不死心的泰坦
name.dailytask.2061	真相大白
name.dailytask.2062	齐心协作
name.dailytask.2063	重建家园
name.dailytask.2064	使命达成
name.dailytask.2065	荣誉至上
name.dailytask.2066	短暂的休整
name.dailytask.2067	空前的繁荣
name.dailytask.2068	不和谐的声音
name.dailytask.2069	诸神后代
name.dailytask.2070	兴风作浪
name.dailytask.2071	维护正义
name.dailytask.2072	轻车熟路
name.dailytask.2073	捉拿归案
name.dailytask.2074	半神的报复
name.dailytask.2075	不合作的态度
name.dailytask.2076	强硬的回复
name.dailytask.2077	解决之道
name.dailytask.2078	寻找方法
name.dailytask.2079	谣言四起
name.dailytask.2080	佣兵的困境
name.dailytask.2081	援手
name.dailytask.2082	日久见人心
name.dailytask.2083	联手对敌
name.dailytask.2084	涅墨亚狮子
name.dailytask.2085	刀枪不入
name.dailytask.2086	屠狮的办法
name.dailytask.2087	灵光一现
name.dailytask.2088	灭掉半神
name.dailytask.2089	为民除害
name.dailytask.2090	正义化身
name.dailytask.2091	民众的感谢
name.dailytask.2092	树立雕像
name.dailytask.2093	宽恕
name.dailytask.2094	主神的奖励
name.dailytask.2095	为正义而战
name.dailytask.2096	永无宁日
name.dailytask.2097	榜样
name.dailytask.2098	英勇的化身
name.dailytask.2099	勇气之神
name.dailytask.2100	圣山上的旗帜
name.dailytask.2101	流浪故事
name.dailytask.2102	团圆
name.dailytask.2103	邪恶的憎恨
name.dailytask.2104	回声女神
name.dailytask.2105	点金术
name.dailytask.2106	始祖
name.dailytask.2107	卡德摩斯与毒龙
name.dailytask.2108	欧罗巴遭劫记
name.dailytask.2109	酒神的报复
name.dailytask.2110	珀耳修斯传奇
name.dailytask.2111	宙斯之子的胜利
name.dailytask.2112	圣林
name.dailytask.2113	阿耳戈斯的忠告
name.dailytask.2114	勇驾神牛
name.dailytask.2115	归途险遇
name.dailytask.2116	悲惨的结局
name.dailytask.2117	墨勒阿革洛斯与野猪
name.dailytask.2118	大力神
name.dailytask.2119	大地女神
name.dailytask.2120	创造
name.dailytask.2121	巧匠
name.dailytask.2122	埃及女神
name.dailytask.2123	挚友
name.dailytask.2124	狡猾者
name.dailytask.2125	雅典王
name.dailytask.2126	十二件大事
name.dailytask.2127	伊阿宋的王位
name.dailytask.2128	水妖
name.dailytask.2129	特洛亚王
name.dailytask.2130	河神
name.dailytask.2131	英雄的老师
name.dailytask.2132	遗落的神谱
name.dailytask.2133	白昼
name.dailytask.2134	暗黑破坏神
name.dailytask.2135	沧海女神
name.dailytask.2136	生长
name.dailytask.2137	火山女神
name.dailytask.2138	反抗
name.dailytask.2139	私生子
name.dailytask.2140	半人半鱼
name.dailytask.2141	圣物
name.dailytask.2142	财富
name.dailytask.2143	黑公牛
name.dailytask.2144	实践技能
name.dailytask.2145	传令的使者
name.dailytask.2146	赫耳墨斯之杖
name.dailytask.2147	光辉灿烂
name.dailytask.2148	无间道
name.dailytask.2149	假传圣谕
name.dailytask.2150	离间的人
name.dailytask.2151	预言家之死
name.dailytask.2152	弯月之女神
name.dailytask.2153	切断生命线
name.dailytask.2154	流星
name.dailytask.2155	奇异的掌纹
name.dailytask.2156	不能相信的神
name.dailytask.2157	逃脱的灵魂
name.dailytask.2158	聚魂石
name.dailytask.2159	收复迷失之魂
name.dailytask.2160	生还
name.dailytask.2161	窃贼
name.dailytask.2162	丢失的手卷
name.dailytask.2163	惊天秘密
name.dailytask.2164	关于未来
name.dailytask.2165	长眠的预言家
name.dailytask.2166	起死回生
name.dailytask.2167	命运的抗争
name.dailytask.2168	燃烧的神谕
name.dailytask.2169	预言消失
name.dailytask.2170	猜忌
name.dailytask.2171	勾引
name.dailytask.2172	不可饶恕
name.dailytask.2173	神的错误
name.dailytask.2174	浩劫蔓延
name.dailytask.2175	和解
name.dailytask.2176	诛杀恶灵
name.dailytask.2177	解救苍生
name.dailytask.2178	完成使命
name.dailytask.2179	告诫众神
name.dailytask.2180	回归理性的神
name.dailytask.2181	犒赏
name.dailytask.2182	人类之王
name.dailytask.2183	魔界狩猎
name.dailytask.2184	遗失的记忆
name.dailytask.2185	寻找九头蛇
name.dailytask.2186	斩首
name.dailytask.2187	镇压地狱叛乱
name.dailytask.2188	交还首级
name.dailytask.2189	石化的人马军曹
name.dailytask.2190	得到支援
name.dailytask.2191	一场大战
name.dailytask.2192	半人马的支援
name.dailytask.2193	泥沼中的混战
name.dailytask.2194	堕落
name.dailytask.2195	贻误的战机
name.dailytask.2196	找到叛徒
name.dailytask.2197	反击
name.dailytask.2198	胜利的曙光
name.dailytask.2199	收复失地
name.dailytask.2200	国王的犒赏
name.dailytask.2201	寻找王妃
name.dailytask.2202	被劫持的信使
name.dailytask.2203	王妃的下落
name.dailytask.2204	神的贪欲
name.dailytask.2205	惩罚
name.dailytask.2206	营救
name.dailytask.2207	艰苦的航行
name.dailytask.2208	海怪的警告
name.dailytask.2209	坚毅的使命
name.dailytask.2210	海怪的眼球
name.dailytask.2211	拖延
name.dailytask.2212	摧毁海神店
name.dailytask.2213	大洪水
name.dailytask.2214	控制水的圣物
name.dailytask.2215	弑神
name.dailytask.2216	护送王妃
name.dailytask.2217	听信谗言
name.dailytask.2218	怀孕的王妃
name.dailytask.2219	临盆的喜悦
name.dailytask.2220	半神
name.dailytask.2221	放逐
name.dailytask.2222	半神的愤怒
name.dailytask.2223	并肩作战
name.dailytask.2224	冥土受罚
name.dailytask.2225	友谊
name.dailytask.2226	两肋插刀
name.dailytask.2227	踏上征途
name.dailytask.2228	追击反叛神
name.dailytask.2229	狭路相逢
name.dailytask.2230	受伤的战友
name.dailytask.2231	神奇的草药
name.dailytask.2232	宙斯的暗中相助
name.dailytask.2233	禁锢
name.dailytask.2234	仙馔密酒
name.dailytask.2235	族谱
name.dailytask.2236	化身
name.dailytask.2237	祭奠
name.dailytask.2238	远征
name.dailytask.2239	阿尔戈英雄
name.dailytask.2240	围困
name.dailytask.2241	卡珊德拉的警告
name.dailytask.2242	回归之旅
name.dailytask.2243	百臂巨人
name.dailytask.2244	七情六欲
name.dailytask.2245	丰饶之角
name.dailytask.2246	湖怪鸟 
name.dailytask.2247	逃离半岛
name.dailytask.2248	海神的阻挠
name.dailytask.2249	求助
name.dailytask.2250	人类的世纪 
name.dailytask.2251	海盗
name.dailytask.2252	双重危险
name.dailytask.2253	救兵
name.dailytask.2254	人质
name.dailytask.2255	和平协议
name.dailytask.2256	外域传说
name.dailytask.2257	鞑靼人的秘密
name.dailytask.2258	查找知情人
name.dailytask.2259	无字卷轴
name.dailytask.2260	破解通天道
name.dailytask.2261	起帆
name.dailytask.2262	追寻起源
name.dailytask.2263	外域传送门
name.dailytask.2264	永夜森林的埋伏
name.dailytask.2265	女神的劝告
name.dailytask.2266	初窥外域之力
name.dailytask.2267	寻找底图
name.dailytask.2268	外域的钥匙
name.dailytask.2269	开启传送门
name.dailytask.2270	未知文明
name.dailytask.2271	混沌之初
name.dailytask.2272	驾驭不了之力量
name.dailytask.2273	东方来者
name.dailytask.2274	龙的威严
name.dailytask.2275	学习语言
name.dailytask.2276	内功的修炼
name.dailytask.2277	高人一等
name.dailytask.2278	准备好了
name.dailytask.2279	走向外域
name.dailytask.2280	人类的祈福
name.dailytask.2281	众神的嘱托
name.dailytask.2282	外域之劲敌
name.dailytask.2283	金牛守护者
name.dailytask.2284	天枰守护者
name.dailytask.2285	双子守护者
name.dailytask.2286	划敌为友
name.dailytask.2287	失踪的守护者
name.dailytask.2288	混沌虚无之牢
name.dailytask.2289	追寻守护者
name.dailytask.2290	圣盔的下落
name.dailytask.2291	圣甲的下落
name.dailytask.2292	外域之剑
name.dailytask.2293	神秘的幽灵
name.dailytask.2294	守护者的下落
name.dailytask.2295	隐藏危机
name.dailytask.2296	神以外的规则
name.dailytask.2297	外域之戒律
name.dailytask.2298	营救守护者
name.dailytask.2299	三重界
name.dailytask.2300	第一界
name.dailytask.2301	第二界
name.dailytask.2302	庞大的队伍
name.dailytask.2303	第三界
name.dailytask.2304	清除外域之乱
name.dailytask.2305	归位的守护者
name.dailytask.2306	重建秩序
name.dailytask.2307	获得域外戒律
name.dailytask.2308	信仰
name.dailytask.2309	回归
name.dailytask.2310	混乱的人间
name.dailytask.2311	外域的掉落
name.dailytask.2312	清除余孽
name.dailytask.2313	圣徒诞生
name.dailytask.2314	云游
name.dailytask.2315	辅佐圣徒
name.dailytask.2316	信仰危机
name.dailytask.2317	重建神谕
name.dailytask.2318	各司其职
name.dailytask.2319	众神归位
name.dailytask.2320	异教徒
name.dailytask.2321	感化
name.dailytask.2322	定制的律法
name.dailytask.2323	秩序重建
name.dailytask.2324	宗教之争
name.dailytask.2325	只有一个神
name.dailytask.2326	异教徒的战争
name.dailytask.2327	东征
name.dailytask.2328	冥王的阴谋
name.dailytask.2329	被瓜分的土地
name.dailytask.2330	评判
name.dailytask.2331	消失的军团
name.dailytask.2332	雄鹰的圣象
name.dailytask.2333	预兆
name.dailytask.2334	寻找消失军团
name.dailytask.2335	胜利在东方
name.dailytask.2336	迷失在冰封之地
name.dailytask.2337	冰封的王座
name.dailytask.2338	惊醒的冰龙
name.dailytask.2339	龙的争斗
name.dailytask.2340	冰极战士的骚扰
name.dailytask.2341	收编新的队伍
name.dailytask.2342	协防
name.dailytask.2343	屠龙的勇士
name.dailytask.2344	龙的灭绝
name.dailytask.2345	寻找龙蛋
name.dailytask.2346	最后的希望
name.dailytask.2347	放生外域
name.dailytask.2348	永不回归
name.dailytask.2349	东方的巨人
name.dailytask.2350	惊醒的狮子
name.dailytask.2351	巨象之战
name.dailytask.2352	异域诱惑
name.dailytask.2353	迷失的战士
name.dailytask.2354	受挫
name.dailytask.2355	久攻不下
name.dailytask.2356	征服者的猜忌
name.dailytask.2357	扫除障碍
name.dailytask.2358	勇猛的雇佣兵
name.dailytask.2359	魔法部队
name.dailytask.2360	强劲的敌人
name.dailytask.2361	装备绿火
name.dailytask.2362	魔法部队溃散了
name.dailytask.2363	到达东方之泉
name.dailytask.2364	补给
name.dailytask.2365	伤病的困惑
name.dailytask.2366	雅典娜的相助
name.dailytask.2367	向东方之峰前进
name.dailytask.2368	和平的王国
name.dailytask.2369	谅解
name.dailytask.2370	戒律的传播
name.dailytask.2371	帝国即将建立
name.dailytask.2372	回乡的战士
name.dailytask.2373	故土
name.dailytask.2374	恢复生产力
name.dailytask.2375	信仰的力量
name.dailytask.2376	文明兴起
name.dailytask.2377	祈祷
name.dailytask.2378	众神的回复
name.dailytask.2379	洪水退去
name.dailytask.2380	众神契约
name.dailytask.2381	众王的兴起
name.dailytask.2382	统治
name.dailytask.2383	海神的祈福
name.dailytask.2384	勇者佣兵团
name.dailytask.2385	人马帝国诞生
name.dailytask.2386	战友重逢
name.dailytask.2387	众神和解
name.dailytask.2388	谎言覆灭
name.dailytask.2389	铲除异己
name.dailytask.2390	美好愿景
name.dailytask.2391	天神的辅佐
name.dailytask.2392	建立城邦
name.dailytask.2393	欢庆
name.dailytask.2394	一缕阳光
name.dailytask.2395	万物复苏
name.dailytask.2396	春之神的回归
name.dailytask.2397	敬仰的力量
name.dailytask.2398	归隐的英雄
name.dailytask.2399	彩虹之后
name.dailytask.2400	成就传奇
tip.dailytask.1	Do the cooking
tip.dailytask.2	Do the cooking
tip.dailytask.3	Do the cooking
tip.dailytask.4	Do the cooking
tip.dailytask.5	Do the cooking
tip.dailytask.6	Do the cooking
tip.dailytask.7	Do the cooking
tip.dailytask.8	Do the cooking
tip.dailytask.9	Do the cooking
tip.dailytask.10	Do the cooking
name.guildtask.1	公会建设1
name.guildtask.2	公会建设2
name.guildtask.3	公会建设3
name.guildtask.4	公会建设4
name.guildtask.5	公会建设5
name.guildtask.6	公会训练1
name.guildtask.7	公会训练2
name.guildtask.8	公会训练3
name.guildtask.9	公会训练4
name.guildtask.10	公会训练5
name.guildtask.11	公会发展1
name.guildtask.12	公会发展2
name.guildtask.13	公会发展3
name.guildtask.14	公会发展4
name.guildtask.15	公会发展5
name.guildtask.16	公会扩张1
name.guildtask.17	公会扩张2
name.guildtask.18	公会扩张3
name.guildtask.19	公会扩张4
name.guildtask.20	公会扩张5
name.guildtask.21	公会内政1
name.guildtask.22	公会内政2
name.guildtask.23	公会内政3
name.guildtask.24	公会内政4
name.guildtask.25	公会内政5
name.guildtask.101	快速建设
name.guildtask.102	快速训练
name.guildtask.103	快速发展
name.guildtask.104	快速扩张
name.guildtask.105	快速内政
name.guildtask.201	1阶骷髅王
name.guildtask.202	2阶独眼巨人
name.guildtask.203	3阶阿瑞斯
name.guildtask.204	4阶阿特拉斯
name.guildtask.205	5阶骷髅王
name.guildtask.206	6阶独眼巨人
name.guildtask.207	7阶阿瑞斯
name.guildtask.208	8阶阿特拉斯
name.guildtask.209	9阶骷髅王
name.guildtask.210	10阶独眼巨人
name.guildtask.211	11阶阿瑞斯
name.guildtask.212	12阶阿特拉斯
name.guildtask.213	13阶骷髅王
name.guildtask.214	14阶独眼巨人
name.guildtask.215	15阶阿瑞斯
name.guildtask.216	16阶阿特拉斯
tip.guildtask.1	Collect Axe
tip.guildtask.2	Collect Axe
tip.guildtask.3	Collect Axe
tip.guildtask.4	Collect Axe
tip.guildtask.5	Collect Axe
tip.guildtask.6	Collect Axe
tip.guildtask.7	Collect Axe
tip.guildtask.8	Collect Axe
tip.guildtask.9	Collect Axe
tip.guildtask.10	Collect Axe
name.rescontest.1	Collect Iron
name.rescontest.2	Collect Iron
name.rescontest.3	Collect Iron
name.rescontest.4	Collect Iron
name.rescontest.5	Collect Iron
name.rescontest.6	Collect Iron
name.rescontest.7	Collect Iron
name.rescontest.8	Collect Iron
name.rescontest.9	Collect Iron
name.rescontest.10	Collect Iron
tip.rescontest.1	Collect Iron
tip.rescontest.2	Collect Iron
tip.rescontest.3	Collect Iron
tip.rescontest.4	Collect Iron
tip.rescontest.5	Collect Iron
tip.rescontest.6	Collect Iron
tip.rescontest.7	Collect Iron
tip.rescontest.8	Collect Iron
tip.rescontest.9	Collect Iron
tip.rescontest.10	Collect Iron
name.skill.100	圣光裁决
name.skill.101	圣光裁决
name.skill.102	圣光裁决
name.skill.103	圣光裁决
name.skill.104	圣光裁决
name.skill.105	圣光裁决
name.skill.106	圣光裁决
name.skill.107	圣光裁决
name.skill.108	圣光裁决
name.skill.109	圣光裁决
name.skill.110	圣光裁决
name.skill.111	神圣护盾
name.skill.112	神圣护盾
name.skill.113	神圣护盾
name.skill.114	神圣护盾
name.skill.115	神圣护盾
name.skill.116	神圣护盾
name.skill.117	神圣护盾
name.skill.118	神圣护盾
name.skill.119	神圣护盾
name.skill.120	神圣护盾
name.skill.121	天神护体
name.skill.122	天神护体
name.skill.123	天神护体
name.skill.124	天神护体
name.skill.125	天神护体
name.skill.126	天神护体
name.skill.127	天神护体
name.skill.128	天神护体
name.skill.129	天神护体
name.skill.130	天神护体
name.skill.131	雷霆之怒
name.skill.132	雷霆之怒
name.skill.133	雷霆之怒
name.skill.134	雷霆之怒
name.skill.135	雷霆之怒
name.skill.136	雷霆之怒
name.skill.137	雷霆之怒
name.skill.138	雷霆之怒
name.skill.139	雷霆之怒
name.skill.140	雷霆之怒
name.skill.141	神之惩戒
name.skill.142	神之惩戒
name.skill.143	神之惩戒
name.skill.144	神之惩戒
name.skill.145	神之惩戒
name.skill.146	神之惩戒
name.skill.147	神之惩戒
name.skill.148	神之惩戒
name.skill.149	神之惩戒
name.skill.150	神之惩戒
name.skill.151	神佑之光
name.skill.152	神佑之光
name.skill.153	神佑之光
name.skill.154	神佑之光
name.skill.155	神佑之光
name.skill.156	神佑之光
name.skill.157	神佑之光
name.skill.158	神佑之光
name.skill.159	神佑之光
name.skill.160	神佑之光
name.skill.201	烈焰之刃
name.skill.202	烈焰之刃
name.skill.203	烈焰之刃
name.skill.204	烈焰之刃
name.skill.205	烈焰之刃
name.skill.206	烈焰之刃
name.skill.207	烈焰之刃
name.skill.208	烈焰之刃
name.skill.209	烈焰之刃
name.skill.210	烈焰之刃
name.skill.211	石灵护体
name.skill.212	石灵护体
name.skill.213	石灵护体
